k,m,wart
1,1,0.711864406779661
1,2,0.7966101694915254
1,3,0.8135593220338984
1,4,0.864406779661017
2,1,0.711864406779661
2,2,0.7966101694915254
2,3,0.8135593220338984
2,4,0.864406779661017
